census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6
381,2,1,2,2,1,2,10212,52264,65048,111104,132427,51634,15210,66241,72042,119823,114375,34998,40751,75589,85087,114612,76149,30501,36028,65434,112267,104789,64539,39632,50891,70249,79178,96991,89747,35633,44851,151944,137081,61078,23554,4181,45518,153553,132306,63593,23357,4362,75383,71749,80596,89601,70748,34612,23395,51349,105256,140029,74151,28509,45779,60320,99286,86745,69420,61139,17830,72998,89789,94537,87261,60274,70691,66168,72848,90286,71589,51107
382,2,1,2,2,1,1,1943,14478,23629,95213,121947,54202,6628,18014,36105,87663,122559,40443,10898,29215,51374,85597,101405,32923,30230,58907,82733,76025,49158,14359,20034,31442,40744,68552,101632,49008,4998,47159,125843,110017,22307,1088,4900,49179,122483,111766,22042,1042,22729,36091,44430,66854,94420,46888,14246,33137,67903,91562,78729,25835,31591,101410,73462,53570,36381,14998,25183,79574,74625,57089,45016,29925,18772,35075,42704,59052,73079,82730
383,1,1,2,1,1,1,10401,84859,122794,139625,100781,22196,25578,114775,131463,119853,74060,14927,62097,120032,109849,110246,66283,12149,47725,151307,162815,79296,27070,12443,88223,95996,92945,100940,81504,21048,51407,218604,160689,42831,6796,329,51419,221228,156252,44635,6792,330,121677,89017,99008,93049,62929,14976,29204,131314,162947,111135,39042,7014,19079,71758,122007,99667,97067,71078,26347,70231,85166,99919,109239,89754,94003,74240,79888,102063,81774,48688
384,1,1,2,1,1,1,26601,133426,150029,199206,149332,25772,81281,179057,164807,156830,78736,23655,176455,156868,140874,130849,70412,8908,98689,184291,220684,126046,43424,11232,187384,141048,111842,116612,102970,24510,128994,275628,203592,67802,7713,637,130248,278207,197433,70107,7729,642,237242,123069,116961,112299,79676,15119,119586,205857,189899,123829,40707,4488,32364,64112,138375,132816,147340,169359,36586,94413,100848,118791,166898,166830,182861,125965,98322,116976,101949,58293
385,2,1,2,1,1,1,23364,158622,135870,76500,16373,5803,64541,155731,90539,73819,25518,6384,138377,103494,70191,71701,26860,5909,29450,91550,132723,85786,44012,33011,108877,88556,76267,84528,49840,8464,101076,152768,114873,42548,4967,300,102148,153291,112092,43717,4976,308,158681,77541,60686,73194,38975,7455,50845,99444,133934,96538,29368,6403,9769,27620,69617,66601,84567,158358,15026,60716,84605,87584,91853,76748,142191,77356,53083,73278,53031,17593
386,1,1,2,3,2,2,3638,33029,52772,82145,97530,25038,14184,44426,59637,81868,84725,9312,34561,46945,53560,77916,75570,5600,25184,84290,96231,54765,20960,12722,26413,49922,55220,74750,77931,9916,17418,115147,110079,46347,5136,25,17606,115456,107668,48304,5094,24,46695,47361,50502,72569,67115,9910,11815,42904,94855,96519,44868,3191,12574,83359,73215,46010,36323,42671,11938,50711,72401,69374,60515,29213,40015,39562,41960,62113,69405,41097
387,2,1,2,2,1,1,0,796,21950,103553,179854,73575,732,35140,82775,117234,119803,24044,16110,107524,94220,92593,63609,5672,161809,66398,71906,54129,22894,2592,159010,48281,48777,60623,53200,9837,34356,199730,101239,37591,6563,249,32755,203272,98177,38877,6404,243,153393,60053,53607,56404,45767,10504,127460,58280,78178,80027,32128,3655,108886,80817,72416,59832,50853,6924,4815,28655,44546,53322,58081,190309,140217,52808,51486,55630,49556,30031
388,2,1,2,1,1,1,81141,224534,278262,251346,62073,7421,125277,262111,250934,209339,52729,4387,245757,237228,219512,151898,46367,4015,49990,113529,226775,267174,164221,83088,154652,195972,209115,202772,124022,18244,84261,311542,330736,152529,24848,861,84641,311620,323983,158318,25258,957,242018,208670,188633,164971,90093,10392,82662,178879,317719,240879,76809,7829,20661,30837,124900,193271,225412,309696,55687,165320,197704,198148,177828,110090,232757,216239,166489,158711,102020,28561
389,1,1,2,1,1,1,256344,128527,33835,11510,1387,212,262673,118487,34796,13413,2161,285,278418,101612,32801,14892,3754,338,39064,61896,73258,97934,99835,59828,100381,124385,103984,66905,31244,4916,82514,204224,106164,34524,4140,249,85642,203443,102524,35539,4420,247,154935,147060,72323,37612,17780,2105,114506,125975,103097,66658,20255,1324,1563,1080,7495,26180,90899,304598,83141,106186,86361,70479,55369,30279,136987,148302,81016,41781,17660,6069
390,1,1,1,1,1,1,680956,145134,27555,6808,669,153,637465,161659,43460,15101,3226,364,599985,155647,63937,31453,9720,533,58257,172827,221717,211816,136352,60306,280784,245223,148696,104639,70765,11168,184597,400331,192596,76165,7509,77,188111,397791,188626,79017,7659,71,393282,213580,110831,81084,55670,6828,278454,339379,163335,63448,16004,655,1065,3284,23906,68649,154591,609780,195313,188911,156259,138513,120120,62159,359188,217642,118175,89517,57108,19645
391,2,1,1,1,1,1,56081,88498,66259,78501,39193,6185,93038,72946,61443,69019,31067,7204,115539,54528,61280,65320,30703,7347,35586,56454,107326,93861,32356,9134,95620,54831,40847,59037,65980,18402,45498,100341,82711,85897,18669,1601,46224,99962,80466,87369,19096,1600,118564,44498,46729,59455,53169,12302,68588,78018,89912,67832,24531,5836,15685,15061,59389,71563,57669,115350,39031,68740,54508,55152,63119,54167,103607,49344,41255,57072,53427,30012
392,2,1,1,1,1,1,1155,33148,68791,102490,43195,4769,11994,47959,80979,71542,34709,6365,18227,52484,72806,68069,35380,6582,17152,66635,106585,51038,9750,2388,47173,36058,32945,54977,64505,17890,4191,79239,87475,69300,12301,1042,4280,80415,85731,69687,12457,978,51931,38897,42786,56972,52108,10854,19451,69386,87001,53045,19785,4880,13785,26421,73067,76959,46343,16973,30020,61173,48592,33011,32364,48388,37908,41142,32492,48685,55343,37978
393,2,1,1,1,1,1,24696,166354,250088,215181,43225,5145,65313,176670,237556,158068,56794,10288,72502,138300,205130,180209,91972,16576,27385,136481,259967,208336,62366,10154,39230,80646,107745,181611,220804,74653,2285,53053,189056,317906,133484,8905,2477,53835,183062,321414,135255,8646,61422,90705,139967,187124,179424,46047,33980,178899,239145,155381,80948,16336,14149,49245,191416,238310,132581,78988,213329,216123,130355,84300,41332,19250,39795,80876,102023,170001,192940,119054
394,2,1,1,1,1,1,97135,111412,126841,70198,7960,966,112367,97030,109835,71360,21566,2354,87996,89754,93676,86219,51777,5090,71199,112205,117483,76085,30103,7437,43702,57394,59415,85484,109333,59184,1416,42389,95765,142912,117513,14517,1517,43754,92709,144908,117793,13831,54499,68414,68244,83742,101885,37728,96879,102584,98846,73398,38037,4768,7184,31901,111800,113529,85275,64823,177183,103976,60461,36832,21042,15018,21258,62025,54683,76498,89387,110661
395,2,1,1,1,1,1,265687,208126,224866,127356,15834,2325,267748,224142,205775,107536,34153,4840,264203,192937,180043,135893,64131,6987,64773,164854,244454,222480,103265,44368,156175,148819,139275,173091,174953,51881,62460,192468,210077,273324,98882,6983,66619,190694,203127,277260,99489,7005,214673,154355,142710,162376,142432,27648,123702,246352,248491,152721,65786,7142,14912,36752,140841,194926,174150,282613,221498,210809,146938,107137,88296,69516,184569,150265,116243,154432,148217,90468
396,2,1,1,1,1,1,466556,235467,61455,17616,2958,614,427629,244714,73135,29237,8758,1193,393972,203402,99551,59354,26134,2253,96167,149121,183758,186043,118825,50752,154600,176239,157846,138316,118128,39537,97800,267055,210996,147755,53058,8002,101679,264553,205172,152043,52708,8511,227066,211207,136138,104167,88734,17354,223111,258078,172566,93931,34502,2478,4612,14316,51544,109021,210433,394740,264331,177855,124508,98559,75955,43458,170097,197596,145564,117241,84749,69419
397,2,1,1,1,1,1,122320,206900,151215,68053,15953,839,105037,125153,131162,121388,71734,10806,73780,78706,95493,126947,155603,34751,32754,113327,159341,168052,82985,8821,31892,47725,46302,74939,164813,199609,5384,46600,93273,202242,199370,18411,5566,47594,90523,205929,198201,17467,42650,53547,51824,82202,173729,161328,59702,114167,119153,130007,121798,20453,16256,119750,161558,113870,83319,70527,391936,82717,40570,29697,12051,8309,22012,53159,46617,68125,103154,272213
398,2,1,1,1,1,1,0,0,0,0,0,0,6,2,0,0,1,5,12,8,0,0,10,5,42,1,0,2,4,0,47,11,2,4,6,0,6,28,4,0,0,0,7,42,9,0,0,0,54,46,24,37,20,29,140,28,11,1,1,29,43,0,0,0,0,20,80,0,0,0,0,18,0,0,3,44,9,30
399,2,1,1,1,1,1,0,0,0,0,0,0,0,6,13,15,13,51,9,15,25,24,17,50,122,10,5,4,10,10,94,25,15,21,8,5,0,15,16,14,5,0,0,12,14,24,2,0,6,20,55,30,30,41,135,15,24,12,9,71,137,6,1,4,2,32,100,0,0,1,2,119,12,15,32,88,21,40
400,2,1,2,1,2,1,243315,200457,100467,103855,72659,6272,250146,179126,84865,84396,95956,32536,200452,167488,90112,84522,120372,64079,70685,182665,205947,164585,89276,13867,96678,138755,103516,96270,129583,162223,39193,223029,207876,176712,74541,5674,39965,222889,201122,183479,74040,5530,102046,158965,102983,91110,130186,141735,191305,201795,101996,85973,100918,45038,17828,128488,119767,111264,178588,171090,300398,153794,110848,87577,53830,20578,67031,149095,106716,92778,96931,214474
401,2,1,2,1,2,1,281028,457483,402565,377087,185280,17869,303146,414112,274081,310526,318894,100553,247244,328468,234029,271016,413618,226937,181684,357914,409836,432133,293537,46208,174210,202647,192386,244483,395160,512426,156624,410195,473722,459741,213709,7321,156564,408374,458372,479175,212124,6703,181586,238241,199446,234917,390924,476198,278462,381510,271540,277091,353196,159513,56541,470896,384364,286123,318269,205119,822146,351035,196901,158797,129803,62630,124502,212829,199122,229125,289427,666307
402,2,1,2,1,2,1,205070,181561,137805,89165,17860,1171,193232,121279,124794,119675,66699,6953,153085,85302,86145,115897,155691,36512,65875,148522,168737,155831,83139,10528,82053,70963,63741,85257,154623,175995,118867,211811,197185,94930,9787,52,120563,212607,191709,97846,9859,48,87786,76710,65868,93272,167288,141708,136484,144195,112814,107886,105960,25293,7081,141895,161756,96678,82327,142895,366523,106319,62210,49422,35653,12505,75007,68588,53399,72981,107755,254902
403,2,1,3,1,1,1,82614,218601,170840,203429,85892,6930,158017,175518,163499,171255,90114,9903,150510,152355,144495,168341,133536,19069,162769,215340,216697,125758,41565,6177,125705,125254,110105,138056,179778,89408,29978,228529,293195,164299,49553,2752,30601,230028,286890,168334,49718,2735,130296,128006,111895,140612,184938,72559,171008,207847,174176,130951,71796,12528,30757,155982,200996,143357,128218,108996,185891,178851,122054,110977,100847,69686,67347,123397,107570,129437,156521,184034
404,2,1,3,1,2,1,97063,204573,126179,170192,107754,10328,165065,178816,117008,138157,95514,21529,182144,151007,103328,122835,124837,31938,110467,204814,203757,139389,51342,6320,129548,125756,91529,106837,158514,103905,26410,159911,204614,222231,97469,5454,26596,157241,197230,233229,96342,5451,147642,128051,87703,106135,161468,85090,170284,208139,133580,104736,78626,20724,38339,126360,144473,114405,147301,145211,183093,159076,106604,105587,101614,60115,97946,124380,87645,96265,124787,185066
405,2,1,3,1,1,1,670,5410,37159,206598,154984,14143,1572,15291,87653,178723,116352,19373,2835,25928,80115,130863,153222,26001,32528,108990,167239,82725,19169,8313,17903,20561,38280,86442,162194,93584,368,67416,162778,121431,57572,9399,346,66914,153066,131511,57721,9406,13634,21031,42705,93239,164003,84352,17019,44953,134728,138977,66748,16539,27389,149434,151034,72872,16211,2024,126961,140046,65817,37876,23627,24637,10400,16387,32185,72087,117257,170648
406,2,1,3,1,1,1,152412,193754,157942,282976,113455,5296,180257,172354,216740,206014,114163,16307,175891,153955,209500,176724,154182,35583,89797,231443,298997,206012,71517,8069,100567,114959,149890,202856,209946,127617,19475,209708,288561,252903,125026,10162,21044,211605,277113,261197,124982,9894,116108,129125,169447,187380,196922,106853,160934,202095,248584,169049,103170,22003,26150,136769,213482,214371,153799,161264,246228,255869,188210,119323,63100,33105,56787,138618,143286,192110,182673,192361
407,2,1,3,1,1,1,235098,176587,34134,10563,1230,39,184513,183076,58062,22089,9001,910,134040,166516,90226,39586,23413,3870,89755,128448,111154,78724,41525,8045,56633,98130,119513,92202,60982,30191,12638,73443,137405,152786,77634,3745,12780,74554,134498,154194,77948,3677,61809,105531,132899,81835,53730,21847,154578,152110,82536,44532,20651,3244,4300,15811,54378,107630,150209,125323,152166,132619,100470,51352,14026,7018,22797,105726,121098,99094,60527,48409
408,2,1,3,1,2,1,307995,417139,111001,27668,3283,243,284650,354330,149865,58811,17922,1751,246776,274941,192678,96869,50671,5394,122808,272361,245322,156651,61588,8599,122186,170747,213947,173570,136317,50562,10257,200705,354441,227257,70360,4309,10429,204007,345822,231411,71332,4328,162011,159422,230430,161280,119972,34214,253571,358161,150745,69990,30264,4598,19117,40579,121896,241619,214006,230112,233869,228875,210739,129384,39583,24879,96499,151410,188811,199538,135427,95644
409,2,1,3,1,2,2,84143,372938,264159,170825,33633,1180,88726,347801,315960,135558,36378,2455,81894,292305,326478,147226,71672,7303,166287,334918,265594,123389,33429,3261,71143,151828,292147,243869,131090,36801,2075,120578,393157,271833,127839,11396,2017,125515,385379,274306,128438,11223,74954,139682,332760,220396,125678,33408,142622,407801,245049,95838,31623,3945,43219,101304,202911,306940,203163,69341,123677,225674,246588,193364,84294,53281,49245,108115,229510,282383,163181,94444
410,2,1,3,1,2,2,209861,240115,231902,434912,206509,16933,296867,198739,314526,340284,165345,24471,274524,206308,291038,291225,239234,37903,260678,481533,373021,164818,47228,12954,207562,208787,167442,254173,341771,160497,2546,163633,424980,429142,262687,57244,2617,171679,407190,440032,262410,56304,218935,205571,186008,260860,330217,138641,332995,310512,343282,222963,107018,23462,93091,245243,327660,277212,198178,198848,336415,325477,219299,209586,159103,90352,86373,221490,165118,235970,274878,356403
411,2,1,3,1,1,1,5311,80789,157694,189741,72336,4191,23535,96866,143749,147586,88020,10306,28031,83669,103690,136443,135702,22527,43651,129761,184254,118541,30137,3718,33384,55073,54958,84569,157800,124278,535,24380,135177,185754,143760,20456,501,25366,130333,190238,143072,20552,34026,64708,64254,94077,166048,86949,38479,105990,145315,129390,79152,11736,20680,112916,172688,116752,70448,16578,225610,117699,56689,42744,36098,31222,17648,52857,54328,74233,108584,202412
412,2,1,3,1,2,1,120440,132226,116472,50692,9869,5885,168759,84233,108029,50947,15178,8438,158737,102161,85584,52378,26433,10291,61150,191635,104208,53317,17707,7567,131483,102152,56465,57425,57300,30759,4721,126763,148478,102818,43517,9287,5137,131979,142576,103602,43187,9103,148520,101577,55905,52313,52596,24673,157799,116304,82358,50488,19520,9115,23652,21235,65308,96819,101536,127034,80339,64029,59984,98046,76370,56816,70665,133791,66855,58502,50614,55157
413,2,1,2,1,2,1,344875,238595,102094,35808,5423,1263,353785,201326,109222,47650,12870,3205,310221,167772,131107,80331,33369,5258,50913,188476,239925,171598,65890,11256,181263,131261,98680,128974,138548,49332,40732,238119,244734,160210,43049,1214,43337,239502,238078,162942,43031,1168,232356,114788,114992,127417,111884,26621,240753,248967,130067,71892,30742,5637,7101,12863,73894,159792,181232,293176,251679,146199,109498,122308,81043,17331,171472,123084,103259,128228,120165,81850
414,2,1,2,1,2,1,390513,344995,216075,110961,38670,1615,393546,222815,184403,166979,114563,20523,289698,184444,148188,185208,232874,62417,124309,338937,342361,226136,66523,4563,108277,179327,114995,132045,251820,316365,23443,188781,220795,300917,277925,90968,22810,194230,213480,305235,282172,84902,147536,182436,110508,129702,257535,275112,322856,257721,177265,170791,151147,23049,46477,223296,215962,176518,192684,247892,645484,184603,139248,98717,24264,10513,46067,196919,122120,111231,147946,478546
416,2,1,1,1,2,1,0,0,0,0,0,0,3,0,1,0,2,1,3,5,1,3,5,4,22,1,1,3,1,0,26,6,3,7,0,0,0,4,10,0,0,0,0,5,5,6,0,0,4,7,16,11,6,12,44,5,1,4,2,14,21,2,2,1,0,10,51,0,0,1,0,7,1,2,14,16,2,20
418,2,1,2,1,1,1,4,1,5,8,7,31,2,4,2,6,24,74,1,1,7,15,49,74,110,18,8,7,9,16,71,41,32,28,25,6,4,2,2,6,24,28,0,4,4,6,23,31,0,0,24,94,53,74,80,41,10,10,27,84,181,1,0,0,0,30,130,0,0,2,0,140,0,1,24,161,19,55
419,2,1,1,2,2,1,6,0,1,0,0,0,12,6,0,3,0,0,7,9,5,4,7,3,47,2,2,3,1,1,34,15,7,11,2,1,2,4,5,3,8,2,2,4,4,5,9,2,8,7,14,23,20,26,34,20,8,5,11,34,24,3,3,1,1,33,81,1,1,3,1,10,3,6,7,31,6,37
420,2,1,1,2,2,1,4,1674,8726,67186,337565,85741,67,2264,11154,33942,275129,178340,116,4472,11140,54644,287996,142528,6775,28127,64596,128575,223262,49561,3202,8299,21117,100872,296154,71252,0,642,4713,15704,78063,401774,0,614,4684,15751,79578,400269,2962,11181,22686,61809,237687,164571,1919,2198,17995,73579,264238,140967,49672,218717,167682,54269,9655,901,3723,65049,239584,148409,34447,9684,4217,15959,66346,179914,189134,45326
421,2,3,3,3,3,3,1596,37654,86190,185209,222140,50363,3858,32040,61600,131288,246030,108336,4011,24381,63683,139037,220042,131998,42401,81531,92681,120306,157687,88546,8633,28292,56719,120513,206928,162067,374,6919,36479,71866,152775,314739,372,7384,35335,72457,154271,313333,7960,30241,57929,97152,211746,178124,9646,38201,81240,131555,218302,104208,67343,222595,145884,84249,50737,12344,140821,143878,137442,83237,50489,27285,30303,40838,58869,105276,152129,195737
422,2,1,2,2,2,2,175,10234,26896,91802,72825,8529,484,7075,14815,48618,105448,34021,576,4656,11738,58356,104031,31104,11775,29060,31304,44687,68614,25021,1422,6149,15620,57347,95787,34136,0,1,377,11592,62336,136155,0,0,364,11581,64039,134477,2072,7939,16413,39303,98997,45737,1144,12849,36224,56648,78174,25422,17609,76674,68003,32308,13154,2713,19194,50900,84223,39710,12641,3793,5160,13556,25429,52970,68678,44668
423,2,1,2,1,2,1,0,0,0,0,0,0,0,0,8,0,6,14,0,0,10,9,11,12,47,8,5,1,2,0,44,16,7,11,6,0,0,0,12,57,1,0,0,0,9,62,1,0,0,0,63,79,52,65,121,30,23,9,14,69,48,0,0,0,0,30,80,0,0,0,0,33,0,1,4,62,7,33
424,2,1,2,1,2,1,802,8036,54285,202623,262787,32904,1131,8733,69213,179162,248057,55141,1917,12332,56416,162069,247366,81337,25211,37366,63204,152240,229482,53934,13723,6546,23748,100535,229214,187671,212,3841,9940,55981,265507,225956,182,3817,9700,56111,266332,225295,11822,10390,33412,103356,247012,155445,14085,19856,60096,159257,236392,71751,24958,150484,215196,136593,33713,493,210494,177349,100884,43290,12661,16759,9722,13448,57898,130044,180818,169507
425,2,1,2,1,2,1,666,68113,118096,196305,377699,198889,8541,94750,131413,284495,390799,49770,11547,81603,158017,325138,328270,55193,41855,93065,146139,261861,342063,74785,24408,41219,96673,277943,339806,179719,21817,91890,219077,312671,258329,55984,21862,88281,207680,325280,262681,53984,26802,58974,130147,269856,345862,128127,30195,66257,109129,278700,411112,64375,19174,168600,326494,273216,156373,15911,250432,224213,183793,186158,90237,24935,17257,77638,185006,277220,236301,166346
426,2,1,1,1,2,1,2074,97341,193976,217444,239008,33040,11234,160404,155061,220248,204354,31582,10976,97057,184077,261940,176109,52724,64193,177115,170297,180273,150159,40846,21825,48432,119589,214315,237572,141150,17505,107018,241704,299016,114371,3269,16818,104901,231903,309611,116731,2919,26570,63888,143203,225689,226670,96863,34095,144179,168479,188151,196030,51949,18176,137994,281057,233210,102300,10146,273743,123613,126399,147802,88231,23095,10321,66570,144635,198940,147122,215295
427,2,1,2,1,2,1,2093,171774,424904,429705,95639,2014,8982,171503,380271,430486,129911,4976,14049,138748,287900,392178,270202,23052,184844,318771,269614,224473,114202,14225,25908,131989,285352,366658,242679,73543,5826,29999,78919,176800,483867,350718,5774,30053,76712,178679,491040,343871,21974,104262,251153,429751,277441,41548,58613,268468,378490,278468,130471,11619,45958,316292,365040,244392,135544,18903,177936,205778,253574,284884,167241,36716,11498,89168,226299,395630,284948,118586
428,2,1,2,1,2,1,1989,93471,247407,330114,129919,4299,11304,110875,236511,315999,113596,18914,10993,85733,215354,283229,158497,53393,48366,135751,170670,223065,193102,36245,13151,44137,137293,226583,223244,162791,31606,131879,199080,284827,135974,23833,33193,132601,189850,289086,138840,23629,12574,55673,155872,255600,223778,103702,21017,96152,209184,268471,173211,39164,19932,124421,259532,258755,130946,13613,316650,138131,130964,129686,74388,17380,9561,58516,152866,217256,179862,189138
429,2,1,2,1,3,1,2778,109573,273272,309410,121728,11032,23737,138010,253635,260895,131112,20404,28762,135446,247388,244396,136340,35461,79439,137515,162524,215061,194933,38321,36050,59758,179467,264939,203643,83936,14461,70491,197887,382353,157515,5086,14426,70933,192479,387029,158006,4920,39268,79478,185834,254561,197525,71127,56556,115234,180247,249510,196643,29603,34971,106515,207199,264028,192193,22887,164421,172846,207377,174513,71387,37249,26538,107424,216078,215569,135793,126391
430,2,1,2,2,3,1,1195,42588,199712,311466,131253,11492,9436,65512,190393,249485,142237,40643,9946,75203,201345,203539,129387,78286,43214,86823,134495,207921,177743,47510,10132,38586,138227,230704,160783,119274,1428,34544,208845,363562,88965,362,1407,33412,196611,376020,89848,408,10672,45666,142439,218802,157705,122422,24596,66475,157315,213139,170726,65455,28234,129417,174119,214951,138685,12300,158248,137335,199053,142690,48275,12105,9270,73769,175312,189558,107186,142610
431,2,1,2,1,2,1,204617,179327,77982,30824,8537,1549,202148,146438,84721,43126,21711,4692,156736,129320,99380,64218,42713,10469,83709,157457,118170,84623,49201,9676,62679,125825,98630,91550,83608,40544,35182,169494,150562,129313,18136,149,38112,170386,145921,130384,17893,140,75023,124239,101475,91252,79114,31733,168450,139676,82255,61421,40098,10936,12126,28616,86960,117525,133843,123766,140549,137540,115272,66980,25811,16684,31483,114232,113395,107871,81951,53904
432,1,1,3,1,2,2,1010,70124,185602,120054,75832,7078,7874,108350,136148,89671,89293,28364,11534,100919,106974,70971,103141,66161,52738,53498,76285,122859,124045,30275,46105,54467,57231,76529,92629,132739,14754,48308,106131,170308,108241,11958,14666,47943,98574,177902,108187,12428,18248,58689,80296,87497,109907,105063,32032,50648,83737,112552,139429,41302,41931,114173,92685,87760,98091,25060,203344,62571,46671,41568,51672,53874,34733,70947,71284,64230,68756,149750
433,1,1,3,1,2,2,3072,168378,266755,126816,52697,3519,9731,222154,198885,104573,73632,12262,20520,200116,181422,92222,96331,30626,208900,134297,110895,94621,58885,13639,174402,165174,100981,76578,68799,35303,21059,61111,116191,229807,166855,26214,20846,62060,106295,237527,167227,27282,46463,213070,149245,101218,84160,27081,120222,147929,139464,113826,85554,14242,84954,144980,123860,131147,117884,18412,51292,47681,61910,91706,163502,205146,87056,153551,139139,111056,76049,54386
434,2,1,2,1,2,2,369,89820,207481,163816,61624,5521,1464,111009,174875,138958,93156,9169,1680,99954,139109,110540,139965,37383,192357,134786,91618,65650,35492,8728,79154,122251,119665,105161,86654,15746,1429,12822,69501,177152,231664,36063,1436,12564,63699,181376,232113,37443,8819,112002,138922,136675,122826,9387,79610,119847,132414,111083,76298,9379,144324,135296,92516,79991,65245,11259,16182,63433,86818,119229,132540,110429,30668,94392,111654,108736,102719,80462
435,2,1,3,1,2,2,1726,263479,277683,92310,28143,3212,5991,290697,244047,84085,38013,3720,13789,270713,226875,92636,55912,6628,181839,127825,119996,112063,86107,38723,145965,261020,148782,69742,38227,2817,24558,122912,166254,181559,143366,27904,24928,122523,161130,185493,144515,27964,31653,248111,216380,118591,49212,2606,116483,170673,170170,134033,70273,4921,46158,96113,120638,159256,178646,65742,4342,32409,61082,139104,268022,161594,113558,207082,169776,115368,53810,6959
436,2,1,3,1,2,1,809,200351,300150,143292,44645,1265,3729,260871,259696,107845,56439,1932,5631,219802,249178,97726,105474,12701,165067,172540,162965,115539,57632,16769,132309,256450,136948,90762,68815,5228,43749,191979,199766,167352,70223,17443,45127,195299,193657,168777,70352,17300,39679,259863,199851,116277,73957,885,98677,222968,190700,117784,56709,3674,47523,138565,138049,176695,159377,30303,9903,57100,81725,126273,257072,158439,92294,207270,163654,132606,84688,10000
437,2,1,3,1,2,2,8669,366372,294278,80736,8264,492,38489,420330,227668,58899,12986,439,35162,352349,234381,92644,42381,1894,143683,192255,187871,138401,74303,22298,117803,243876,169128,126315,89259,12430,19662,200879,279833,192205,61810,4422,20760,206560,271936,194193,61007,4355,47737,271655,233280,136896,64547,4696,131359,284080,205452,102735,33773,1412,13773,54523,123625,230635,279969,56286,92725,116293,98031,130739,219874,101149,83109,199527,211596,164762,77081,22736
438,2,1,3,1,2,1,1603,211142,351670,226461,90501,5057,9678,261080,271834,193992,139632,10218,14683,217968,200762,165725,228320,58976,217688,214112,178728,151123,96962,27821,91078,270358,203624,159637,120963,40774,6539,47667,156015,274300,333347,68566,6637,46842,151353,279238,333421,68943,27665,213439,243502,207431,161403,32994,75696,189168,250754,220791,131842,18183,190135,193404,137545,142525,168557,54268,57252,88171,120943,218617,298475,102976,100710,193451,162952,155664,164091,109566
439,2,3,3,3,3,3,9521,207305,148152,40806,16193,4469,19893,206357,135669,41449,20636,2442,26548,185543,126924,52582,32705,2144,84827,91380,88296,76870,57230,27843,66274,183425,98427,50309,26480,1531,23676,105237,122582,102952,62626,9373,24392,105694,119608,104714,62893,9145,29422,145080,146498,78321,26640,485,55448,124720,123618,87471,33606,1583,17919,40966,63621,103948,142867,57125,16088,36634,37770,87324,181299,67331,76226,137408,108195,74194,27431,2992
440,3,1,3,2,1,1,12237,291811,280839,213594,72703,1610,23025,323269,210855,182469,128399,4777,33670,257242,160302,151034,223364,47182,93704,179036,239194,212475,122353,26032,77123,229010,180068,193897,178080,14616,3459,46030,166629,281597,306229,68850,3668,48191,162748,283070,307140,67977,41966,260415,186628,208261,172580,2944,60031,168235,245853,232148,155887,10640,85943,187444,151043,161559,208009,78796,58015,148497,174687,214917,210034,66644,97613,190701,175636,213537,164352,30955
441,2,1,3,1,1,1,7229,91877,220748,197152,69721,1549,11648,102526,158863,185875,124980,4384,7529,77539,89943,122693,246939,43633,163511,196354,120724,73201,30400,4086,22695,96184,139112,178464,138345,13476,1107,15079,48955,124385,234942,163808,1142,15391,47682,124820,237996,161245,13528,86213,117851,178907,184220,7557,41887,110500,180920,175795,76011,3163,195558,159835,88437,73067,60917,10462,49215,93579,128044,165287,125678,26473,17258,64559,84392,131570,193367,97130
442,2,1,2,1,1,1,1449,133513,259534,227570,50103,797,2781,202687,238807,164008,63681,1002,3759,153145,228500,133336,145712,8514,155959,182087,170067,118479,41002,5372,124894,199453,139954,120077,83742,4846,27869,154833,211426,225829,51380,1629,29093,157520,205484,228136,51191,1542,37165,210009,189261,152792,82586,1153,88170,192105,199170,140068,52192,1261,39362,192902,147974,163586,117774,11368,10305,70527,98922,127169,210391,155652,70004,179486,154303,149008,110329,9836
443,2,1,2,1,2,1,0,0,0,0,0,0,0,1,4,7,7,16,0,5,16,18,9,29,95,9,1,5,2,0,82,21,20,12,5,0,2,18,14,7,7,0,0,19,15,6,10,0,0,13,68,29,50,29,113,6,10,14,17,36,96,0,0,0,0,50,150,0,0,0,0,44,0,0,14,103,15,41
