census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11
521,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,9,16,4,6,6,7,5,4,2,10,1,0,2,17,5,15,11,13,7,10,16,9,95,13,3,4,1,2,7,2,1,2,3,63,21,23,6,9,5,12,9,2,4,0,0,2,4,0,0,3,11,14,6,4,6,0,0,4,0,2,6,10,18,7,3,6,0,1,2,22,51,26,16,26,15,39,12,100,14,10,11,7,7,8,6,9,12,40,93,22,6,7,3,3,1,0,0,0,40,126,0,2,3,3,3,2,8,6,20,37,0,0,0,6,7,20,77,27,6,12,39
522,1,1,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,2,9,0,0,2,1,2,3,8,5,2,13,13,30,15,0,0,0,0,1,1,1,8,0,29,11,2,3,9,7,1,4,3,8,0,0,0,0,4,5,2,3,4,3,1,4,0,0,2,10,6,2,4,2,0,0,4,0,7,7,16,20,12,5,14,12,8,18,78,7,6,4,7,7,4,4,8,11,32,59,3,0,0,0,0,0,0,0,0,10,80,0,0,0,0,0,0,0,2,4,21,0,1,1,1,1,7,32,20,3,0,33
523,3,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,3,2,0,1,4,7,0,0,2,3,9,8,10,3,9,10,2,60,5,1,3,1,0,0,0,0,0,0,39,24,14,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,9,17,0,0,0,0,0,0,0,0,6,7,15,8,0,0,1,8,23,38,19,19,14,11,0,56,22,7,12,5,2,4,6,8,18,0,72,0,0,0,0,0,0,0,0,0,20,90,0,0,0,0,0,0,0,0,1,35,0,0,0,5,11,16,45,12,0,0,30
524,3,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,0,0,0,0,0,1,5,5,6,8,10,30,1,4,2,1,0,2,1,0,1,0,6,16,8,6,3,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,3,15,11,15,15,11,7,13,16,4,0,5,4,9,10,1,11,11,45,0,0,0,0,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,18,0,0,0,2,7,5,23,10,2,1,10
525,3,1,2,1,2,2,23,2,4,1,0,0,0,0,0,3,2,11,3,8,2,2,5,1,3,0,9,5,1,3,6,11,3,6,3,1,7,7,8,58,1,0,1,3,1,2,2,1,1,0,41,16,7,1,4,1,2,3,2,0,0,0,0,0,2,6,9,5,2,0,0,0,0,0,0,0,8,10,4,6,0,0,0,0,5,13,19,18,14,12,12,5,13,1,72,7,4,2,7,5,1,5,3,3,10,62,3,0,1,0,0,0,0,0,0,20,41,1,1,2,0,1,0,1,1,6,49,0,2,3,4,7,19,41,6,4,1,10
526,3,1,2,1,3,2,103,9235,214930,395726,319075,215049,184777,149315,74632,10753,278,6007,24991,230420,353445,256242,201425,174090,150697,137620,38789,147,15414,34618,269436,260584,196067,157330,153582,165542,200969,120172,159,228173,302280,256015,217865,172426,130496,99098,73390,53746,30460,9924,65772,314849,317000,220642,163310,141460,132444,123476,83719,10849,352,68,20091,9527,37658,87591,122284,179898,220315,324148,363413,208880,91,20000,8441,32618,90548,128257,176448,227216,317869,369588,202797,32866,142013,309711,276564,219742,186131,173477,161154,69245,2920,50,99887,195251,257234,238033,202435,197326,170185,132175,70778,10427,142,102070,276278,207346,162607,139729,132694,134821,144961,157484,106386,9497,1110,8357,30994,62772,90901,122047,163683,240332,357186,398270,98221,72806,174866,206855,209266,194578,176987,164382,150583,123397,79823,20330
527,3,2,3,3,3,2,126279,205097,164785,141020,127636,115493,105783,82363,34880,4223,1180,94773,163606,179706,137468,122424,107683,113403,107199,68962,12621,894,69050,112850,172440,127393,102587,94413,90134,117675,163995,57467,735,133893,229371,195521,162562,118607,91572,60885,49058,35114,21689,10467,84808,159244,143580,115896,109144,111922,128977,130301,90876,30551,3440,348,66925,55166,50450,82541,108690,160600,156655,180276,176076,71012,432,60773,52253,49861,85521,117796,153412,166403,174978,183885,63425,74691,102014,156518,138961,124099,127773,148326,152846,74270,8836,405,136798,176915,162855,145080,124188,118208,110917,81623,42880,8469,806,53340,158918,124504,99670,92620,96757,107590,121228,120688,82201,51223,72469,69175,75327,85436,95454,108585,127627,150304,157831,116327,50204,64905,96622,123059,117673,108754,105804,108212,117512,121387,98495,46316
528,3,3,3,1,3,2,84649,405844,235979,95316,32829,10785,3567,762,134,85,32,130452,403143,210763,86649,29433,6705,1886,674,171,90,16,117103,305651,181389,106582,71137,48178,24274,11516,3422,715,15,94677,194485,148167,106283,81519,73276,44988,41703,37064,28068,19752,80869,125360,120495,100975,87343,76651,81022,86822,74936,32891,2618,0,6775,27309,65532,114085,140097,189244,146621,115906,59218,5195,1,5843,19967,59217,120417,152517,179266,157467,111344,60448,3495,106066,171596,134204,99053,83911,76021,69632,69703,49040,10699,57,208294,280663,173670,94547,48373,23941,18990,11757,7785,1924,38,11437,14622,23656,30717,42940,58591,77424,109152,162601,209593,129249,189461,119584,99065,86653,77449,69211,64091,56749,45185,31889,30645,65661,126688,113951,90155,76996,69437,61811,57256,49938,46822,111267
529,1,3,3,1,3,2,184506,249320,38969,5380,1879,820,615,498,514,686,3891,156003,236664,63391,17013,5532,1999,967,671,638,1102,3274,180639,154559,77313,39215,17866,7875,3544,1729,1096,1287,2412,41936,37770,37665,42168,47947,57032,58595,60067,49493,32974,22243,54797,98341,80743,61530,50238,48649,46011,30995,12166,4027,1434,698,27243,100795,116341,79136,60391,60720,32746,9316,1784,345,756,24205,86473,107866,93732,70732,58280,36352,8881,1868,286,97925,126952,78008,56195,46116,40665,25120,10348,4657,1884,711,86123,134597,103553,70027,40162,24052,14930,8697,5166,2521,3063,5831,2578,8165,9798,10670,13187,17706,28342,55102,120711,214677,57681,71607,61839,57879,51661,45898,40695,34533,26061,17739,16896,85220,109517,74250,54748,41886,31364,21901,15319,11639,10611,26697
530,3,3,3,3,3,3,146268,220074,176704,126464,61720,32664,19939,7954,1620,896,3898,118060,226118,234164,101094,52558,30997,17944,9034,2912,1324,3423,106650,135047,235366,112951,68995,49810,37495,26973,16603,4491,2633,99004,176816,138835,110726,78046,63284,44421,35562,25095,14892,9702,70474,163916,143653,101277,80960,66940,58521,49675,37379,18283,3471,1655,64587,78078,84863,118116,132017,144814,96647,54048,17183,1700,1766,60069,73303,81976,124513,141000,140400,100126,51732,17355,1379,85519,117919,162964,120470,91008,70883,58613,47164,30968,8890,829,126738,249708,186802,107217,52848,32123,20207,11728,6636,2381,2859,14527,17025,33418,49112,62405,78375,97894,120764,129938,89578,103236,79196,70660,66767,63248,61187,63752,74092,94755,111996,78016,30296,77952,79731,104011,105512,95546,81771,70470,59579,47524,38695,33135
531,3,3,3,3,3,2,14240,23613,156685,166253,144086,126966,133123,95818,35486,4109,551,12491,35632,150868,123054,107977,108362,113589,123363,104214,21023,357,11036,38460,134459,91703,79351,76450,83533,106520,176279,102830,309,85488,168573,162026,147004,114002,86717,61810,41140,22482,9417,2271,25221,116835,121430,102978,94917,99091,114123,116361,84975,23211,1788,22,10546,7998,15404,37239,62412,105285,142429,219724,252848,47023,21,9548,7915,13430,38125,65657,103885,144981,214916,258133,44319,14746,58491,120481,116794,107822,113092,138288,146528,77002,7529,157,47979,103637,122213,115161,107597,123807,117039,102169,53437,7560,331,52475,197193,130770,92058,73785,65987,68970,77690,83865,46893,11244,15753,29160,51206,68437,82908,101579,123121,144416,150902,110662,22786,18614,66006,97232,95771,90258,89396,96279,109969,115275,88257,33873
532,2,1,3,1,3,2,11668,264631,420911,344646,272104,187919,108145,61239,25347,8464,3044,23516,355241,380184,320613,248796,156564,103587,67144,36521,12937,3015,51490,316438,326665,286808,225001,184468,138799,96377,57195,21747,3130,71589,124475,167620,177296,209169,222262,236491,232029,172676,79426,15085,66102,120457,173222,227645,265740,270598,219464,171396,119776,59942,13776,0,29391,86016,147475,193622,231629,332210,307697,256971,106970,16137,0,27960,79856,134597,208260,246535,321116,320206,247134,109109,13345,73110,182993,263413,287088,263092,226712,172005,115883,79415,36863,7544,80760,188746,210047,242934,246577,251984,196939,155453,93523,38011,3144,40620,16651,33650,69010,114983,166129,218497,278264,353893,345462,70959,92843,180931,239406,258256,241244,216983,176566,121102,69140,48742,62905,50494,137456,234239,268731,264604,236705,195554,143640,90667,52931,33097
533,3,1,3,1,3,2,0,0,3,1,1,3,0,1,2,2,8,0,0,0,0,3,4,6,12,16,16,27,0,0,0,0,7,17,30,18,19,28,28,121,9,13,7,5,2,2,2,0,0,0,32,67,22,9,11,14,14,6,0,0,0,0,0,0,0,0,0,0,0,1,9,44,0,0,0,0,0,0,0,0,2,8,52,0,0,2,11,40,60,20,41,27,34,3,145,29,16,15,16,5,7,6,18,23,7,180,0,0,0,0,0,0,0,0,0,20,130,0,0,0,0,0,0,0,0,0,108,0,1,1,1,9,19,111,40,17,3,22
534,3,1,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,3,3,8,6,0,8,17,4,2,7,7,14,11,11,6,6,19,18,130,7,3,6,6,2,4,4,4,1,1,92,44,20,19,4,11,20,13,7,1,0,0,0,2,6,16,19,26,18,1,0,0,0,0,0,10,22,15,36,13,10,0,0,2,20,25,41,79,55,23,45,34,65,24,251,18,25,11,12,21,13,11,8,36,63,112,5,3,1,3,1,2,0,1,0,90,250,1,0,0,0,0,1,0,1,5,64,1,2,1,1,8,31,99,27,8,5,107
535,3,1,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,6,1,8,1,4,4,1,2,8,13,0,0,8,8,20,18,20,6,23,24,20,153,17,17,4,5,4,3,0,0,0,0,47,61,35,12,10,12,14,11,1,0,0,0,0,0,0,0,0,0,0,4,24,30,0,0,0,0,0,0,0,0,6,30,28,0,0,3,38,78,49,24,42,34,45,2,217,23,20,15,13,10,10,17,20,28,12,178,4,0,0,0,0,0,0,0,0,80,220,0,0,0,0,1,1,0,1,7,52,0,0,0,1,2,11,114,66,31,18,8
536,3,3,3,3,3,3,1,233,1036,1218,1026,1422,1638,2270,4621,5018,278,21,363,1183,1192,1348,1428,1630,2700,5403,3428,65,20,753,1293,1175,1263,1491,2326,3518,5490,1393,39,7846,6191,2136,1000,500,340,178,157,121,104,188,820,1178,2417,3405,3985,3117,2033,1096,492,159,59,0,389,195,150,396,1350,6104,7122,2831,213,11,0,346,228,126,362,1464,5862,7581,2575,206,11,649,285,747,1036,1671,2423,3644,4149,3248,822,87,1679,2771,2518,2876,3020,2332,1562,1130,533,308,32,6868,4962,2017,1257,1027,731,606,525,384,233,151,68,176,329,478,601,745,1053,1993,3925,7324,2069,710,265,324,553,1036,2002,3353,4454,3885,1802,377
537,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,4,2,4,4,5,5,4,31,4,1,2,0,2,1,1,0,0,0,11,17,10,4,5,2,3,3,1,0,0,0,0,0,0,0,0,0,0,9,11,8,0,0,0,0,0,0,0,0,7,20,13,0,0,1,7,23,30,24,22,17,29,1,63,28,8,17,6,6,6,1,10,29,8,32,1,0,0,0,0,0,0,0,0,20,70,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,9,27,7,2,1,21
538,3,1,3,1,3,2,0,0,0,0,0,3,1,0,0,0,3,1,0,0,1,1,1,2,1,4,3,7,0,3,0,1,3,6,7,5,2,7,8,36,6,0,0,0,0,0,0,1,3,3,29,10,4,4,7,0,0,1,4,4,0,0,0,0,2,3,8,3,2,2,0,0,0,0,0,2,4,6,4,4,2,0,0,0,7,4,9,14,10,4,6,10,5,8,48,1,1,1,3,2,7,3,4,4,10,49,2,1,0,0,0,0,0,0,0,10,60,0,0,0,0,0,0,0,1,1,25,0,0,1,0,1,11,35,5,3,0,20
539,3,1,3,1,3,2,5209,26917,104846,274755,324089,302561,216533,134625,60283,25192,7087,16767,28646,107429,219379,253800,263580,234884,181054,120305,50480,5773,20060,48738,121739,176572,192615,209018,215583,203641,189207,98892,6032,61517,46432,63258,90695,117878,167203,254066,288608,241685,124844,25911,98728,100271,71215,71211,85798,107803,141040,190132,257042,270614,88243,3,3634,34633,156202,154271,157582,251587,315628,268622,125320,14615,3,2773,30593,140505,168483,164504,249262,324066,259111,131608,11189,85505,101291,99782,101215,120155,134035,158729,196809,246875,206519,31182,51820,28044,52895,106128,159604,202247,218201,246450,245987,158488,12233,36120,24810,73953,152483,212666,240304,243536,231288,177603,77414,11920,303291,284950,189390,126903,89843,71315,62970,60963,63782,91407,137283,107571,102071,96381,105540,119350,134199,156137,174442,171695,162143,152568
540,3,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,5,4,3,27,0,0,1,5,4,8,13,5,4,17,34,62,8,6,3,4,4,7,6,1,1,10,41,23,14,9,9,7,15,6,8,6,2,0,0,0,0,0,0,7,16,19,4,0,0,0,0,0,0,0,5,12,17,12,0,0,0,1,21,25,20,9,16,15,34,20,65,12,5,2,3,5,8,9,7,18,34,106,4,0,0,0,0,0,0,0,0,30,130,0,0,0,0,0,0,0,0,0,62,0,0,0,2,12,40,62,16,2,0,43
541,3,3,3,1,3,2,0,0,1,1,0,1,0,0,1,2,8,0,0,0,0,4,1,0,3,3,3,21,0,0,0,1,0,6,6,4,2,10,13,31,9,3,0,1,3,2,6,1,3,4,14,24,3,13,4,2,5,11,3,4,1,0,0,0,0,0,6,14,5,4,1,0,0,0,0,0,0,7,16,7,4,0,0,0,0,0,0,19,29,13,13,14,22,23,53,8,6,4,7,5,6,4,8,7,39,50,2,1,0,0,0,0,0,0,0,30,70,0,0,0,0,0,0,1,1,2,41,1,1,2,0,4,14,52,4,1,1,30
542,2,1,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,4,1,0,1,4,0,6,6,0,2,3,3,6,3,7,5,4,11,12,55,5,3,1,5,5,4,4,0,0,2,23,27,7,11,5,0,12,8,4,1,0,0,0,0,0,0,8,14,9,1,0,0,0,0,0,0,3,9,18,4,2,0,0,0,0,3,10,32,25,6,18,13,27,6,64,9,5,5,4,6,7,6,3,14,24,66,2,0,0,1,0,0,0,1,0,40,101,0,0,0,0,1,0,1,2,3,28,1,1,1,4,4,10,47,19,8,4,25
543,2,1,3,1,3,2,3,0,0,0,1,0,0,1,0,1,1,6,10,4,4,0,0,6,3,1,12,10,2,4,8,13,11,6,13,5,12,14,17,175,12,4,12,11,4,3,2,1,0,0,104,38,36,15,9,7,30,6,0,0,0,0,0,0,2,36,28,14,0,0,0,0,0,0,0,3,40,38,7,0,0,0,0,0,3,26,61,48,52,7,51,31,56,1,207,3,18,18,14,11,12,12,8,29,32,120,3,3,0,0,1,0,0,0,1,170,270,0,0,0,1,1,1,0,1,1,63,0,5,2,8,6,36,122,49,19,7,47
544,3,3,3,3,3,2,332716,295883,186453,150600,114837,56533,35381,16999,9358,5201,4021,265607,353659,230736,138856,98249,57765,32390,14984,8077,5190,2469,227427,327464,238805,162268,112717,66311,39089,20802,7897,3631,1571,111639,170902,175356,139028,155033,120123,118249,83131,70839,44814,18868,112895,159710,163300,152718,144888,138602,122430,104359,75755,30448,2877,5198,167114,143403,131519,152983,164685,203960,135663,76615,22996,3846,7305,159667,131368,129894,161844,180397,193489,144581,72810,23332,3295,138432,209698,192761,167907,135943,115297,97663,78185,54389,16416,1291,212013,230655,245101,192247,139357,98589,55720,22330,7978,2518,1474,19135,9901,13292,26171,48870,81890,117573,163984,209201,269366,248599,249211,132238,120174,109014,97746,94801,93403,95958,87287,77498,50652,78095,188750,167309,142435,129076,117369,104994,88838,70172,58074,62870
545,3,3,3,1,3,2,210277,192687,176766,206431,137410,80321,47773,30457,20977,16814,21494,230161,237113,282374,142621,92728,59447,38006,20068,11789,11280,15820,248437,392150,213598,112517,67511,39350,23689,14704,8518,8443,12490,115190,88056,90244,93160,103224,106350,122851,112140,118842,106996,84354,282705,267427,143362,110788,94745,81030,65609,47779,27435,10607,9920,4533,168335,154761,232223,192616,133221,126362,77469,37798,12517,1572,6834,160678,134492,228524,212189,144247,123071,81392,35956,12790,1234,383583,266814,141227,99204,75869,59645,46698,32995,17773,6911,10688,197725,169816,159643,154156,137088,125762,90216,57049,26138,11137,12677,56711,16174,13115,16502,23429,36690,59457,99093,160848,271063,388325,53884,92686,104100,94700,82676,75681,72697,72151,77296,150856,264680,370447,242113,134617,97352,79491,67536,55163,40156,24126,13538,16868
546,3,3,3,1,3,2,33135,68018,197770,261125,154355,60103,25253,9214,3127,2301,2106,40675,151598,296333,150753,83442,43802,25946,12414,5444,3359,2741,65474,327586,189669,92550,56269,34020,21566,14883,7746,3952,2792,85781,36129,38056,47289,57364,73982,96344,105356,122558,93446,60202,215519,169290,83814,80596,75923,63392,50295,36684,25721,11832,3441,0,25833,118813,194352,167493,133637,121923,42195,9418,2492,351,0,23134,95672,196391,182472,147045,115826,44571,8565,2577,254,286765,140800,94674,78740,63954,51399,39022,29200,19909,8607,3437,98368,75735,101649,126596,121047,122260,79243,56776,25382,7112,2339,27703,15919,12159,15169,21697,33312,50143,80709,134660,220856,204180,16436,41786,57325,63187,63256,62681,62437,58104,54841,122700,213754,294354,151125,94310,75872,61942,48228,35781,24121,14961,8645,7168
547,3,3,3,3,3,2,0,14613,131826,215574,249570,152212,76481,32491,14191,8189,2762,857,71869,204772,229884,189101,107439,54679,20497,10691,6261,1859,10618,217686,224514,193280,118773,61161,34635,20045,10765,4968,1464,124582,37742,42769,58221,71961,105249,126641,121937,106814,72616,29377,150821,125152,110152,135185,121254,92905,71457,48747,27992,11581,2663,7,1842,28145,148630,286663,164942,142492,84069,34448,6162,509,13,1530,20135,130595,302070,180208,135361,88743,32680,6141,433,174270,133837,145215,142133,113268,75484,51455,33150,19463,7082,2552,115646,50071,60594,124907,161301,170440,113429,68911,24446,6627,1537,48784,25863,21127,24174,34433,53933,90349,142725,180787,201373,74361,14112,36987,54426,64561,70143,76270,83710,94288,104858,112719,185835,196047,132189,141307,126431,98157,72606,53630,36324,21241,11751,8226
548,3,3,3,3,3,2,11602,130423,255771,285909,245720,129812,61836,30686,19806,13615,12617,22623,155031,326198,278423,175445,98151,55916,36132,24226,14515,11137,37672,320540,319076,189138,117131,71816,49253,38840,28404,16349,9578,54171,38623,50143,68866,79102,110709,158592,173361,201960,169223,93047,121158,158253,172782,220742,153095,117472,91712,67610,51911,30177,12885,3,7231,112651,171853,187741,198760,246503,160961,86004,22494,3596,3,5965,82546,179889,199478,214562,237168,170037,81918,23167,3064,136858,198442,262858,179688,121650,86856,71707,56965,43953,26670,12150,52754,67141,99277,165093,202274,203025,152463,143379,72496,30030,9865,28626,20692,24887,31890,41603,56151,83474,135021,215306,346142,214005,38862,67789,91572,107276,111737,115362,130346,135359,126886,139472,133136,213430,243798,215699,147307,105871,81067,64213,47353,31299,22681,25079
549,3,1,3,1,3,2,114060,305011,408254,312692,251503,192982,117062,65429,43076,25629,14123,125638,251237,293403,294265,262341,206668,149438,123786,82275,48631,12144,146695,277472,281124,250448,233025,181695,147113,141274,105532,74275,11181,119616,110369,98904,112941,116294,148540,206715,225679,302609,274537,133635,100199,158562,183273,186334,173070,192757,212181,209009,211945,163712,58804,2518,34747,117108,136838,156700,202921,339555,371500,337976,139985,9998,2573,31939,102148,135685,163765,218402,328261,391728,325011,142718,7616,117458,200141,184864,194042,200850,187173,189438,195261,191490,148373,40755,108255,177458,165424,190148,189466,198013,184926,240186,195655,179148,21166,23708,50228,71852,96656,123157,155545,200323,249623,301068,319118,258556,259488,268939,249882,215874,175939,143257,123387,112623,109824,97459,93154,138883,203557,198320,199973,208778,215521,210622,188301,139248,91565,55071
550,3,1,3,1,3,2,76830,229667,203813,148347,118584,95923,89179,97649,86149,94376,67758,84999,179672,178665,161652,138761,119582,94291,94250,85339,120902,52394,114371,189217,212149,169493,134368,109443,84485,84526,87226,96240,31118,183896,84142,80415,86046,105317,130422,140071,151740,137147,121035,94599,243539,146242,109852,105314,102159,112763,112006,115863,110975,91277,71085,595,11020,78488,136196,170299,246584,279013,190691,113866,70270,27203,666,9487,59876,137205,181561,263643,264787,202896,107084,74413,22607,248278,168676,133827,124036,111138,108504,100639,94008,91047,88991,49621,147861,119886,155386,140966,130795,115237,114428,114561,127950,112454,36374,123871,65130,78263,78723,81409,93580,115551,145684,177783,189909,162135,111933,145783,133106,117562,101045,92424,87681,84614,76371,87978,266200,249365,161113,136999,122180,114753,107163,99347,87128,69978,60646,99954
551,3,1,3,1,3,2,280911,319491,280306,245619,186975,113646,71181,36538,19806,11692,8154,235512,261285,206505,217610,199889,154242,118418,91059,49561,29690,10548,287032,266399,211393,169339,148247,138573,112401,108901,78818,42176,11040,78493,91588,105205,103399,117768,167547,154903,195433,211744,199522,148717,116702,183224,143036,127070,142931,173388,165193,170702,167221,135230,49622,118,25788,129438,179984,149670,149111,240856,258787,238981,133328,68258,130,21564,103805,188561,165835,163434,228285,275551,225708,137152,64294,166976,235473,157350,139222,135294,150997,148686,160350,150608,102177,27186,119941,158417,191862,162278,162378,158398,166212,167504,161708,106448,19173,37232,31757,58192,79525,94309,108334,129480,159183,196661,262969,416677,203238,227470,219218,212549,190670,151764,111951,81346,58423,49919,67771,203536,230624,164003,140828,134109,135323,137379,130798,111143,87411,99165
552,3,1,3,1,3,2,3,3,8,2,2,5,4,0,0,1,21,3,1,4,4,3,6,8,13,12,10,41,3,9,8,4,10,9,16,17,10,25,36,109,17,4,0,2,1,1,1,4,10,5,63,35,8,18,8,4,4,1,10,10,0,0,0,0,9,16,14,5,4,0,0,0,0,0,0,3,21,14,6,2,0,6,0,0,9,9,16,21,29,21,16,22,15,31,67,25,10,3,4,7,8,4,9,12,40,173,0,0,0,0,0,0,0,0,0,10,80,0,0,0,0,0,0,0,1,4,129,10,0,2,4,8,23,98,19,10,6,25
553,3,1,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,8,0,0,0,0,2,0,2,5,5,2,19,25,10,4,2,1,2,1,1,2,3,5,0,26,6,2,7,6,7,7,7,5,4,0,0,0,0,0,0,0,6,14,21,1,0,0,0,0,0,0,0,7,11,34,6,0,0,0,0,6,44,37,12,30,57,80,50,48,11,2,4,8,7,9,17,50,116,44,0,0,0,0,0,0,0,0,0,30,90,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,7,27,16,9,5,32
554,3,1,3,1,3,2,403585,565318,253901,111266,69601,46211,37425,32037,23202,15299,11857,245428,331300,271965,199443,150193,116704,86091,67410,50586,38095,12487,237685,280069,251495,191061,150902,127273,106101,91024,72907,50547,10638,47933,49868,53947,60601,83623,112650,169945,237094,313076,301844,139121,75972,124351,126330,129943,132742,142884,163067,188491,210830,195140,79952,700,40220,109851,152076,208383,268564,358369,276341,122642,29707,2849,820,39044,100408,144462,207559,281892,359058,285557,118582,30336,1984,97763,172630,159643,158476,152572,161130,162869,170999,173824,129537,30259,98568,137075,156827,148064,161254,164882,168902,177529,195198,139916,21487,9612,14127,26098,38647,57428,84849,129554,200518,301070,366731,341068,515638,323867,204047,129835,91573,71630,61048,52126,41599,35018,43321,98091,186394,177829,178867,183274,180295,169745,145282,109640,77924,62361
555,3,1,3,1,3,2,113689,320570,453113,269389,118866,67862,40079,15063,3326,394,77,99459,192682,413715,283981,175947,103646,68026,43255,19276,2369,72,94357,128060,385920,231684,151765,111667,105622,90460,80914,21866,113,147822,235257,213844,203630,151482,135120,102479,86337,63844,39792,22821,67744,237425,238579,190399,159742,128455,121553,118390,93803,41781,4557,2,34934,69124,79438,133156,163717,239505,238532,239914,171689,32417,2,32735,61225,77192,140319,178569,227521,253178,228628,177821,25238,75331,183633,223924,208946,185138,154861,141742,123949,78363,25090,1451,162467,247165,250285,232832,154852,139752,100762,69017,37867,7278,151,28245,85086,106618,113224,121293,131415,149544,177717,207175,183845,98266,141034,112249,102657,109443,115484,123160,136035,158586,197379,160374,46027,96033,176153,162139,149122,146275,141996,138833,134547,115551,84548,57231
556,3,1,3,1,2,2,122,51962,174748,108302,86040,86381,81419,58349,28756,11047,1092,394,30816,130017,97569,84549,87434,87603,82631,58837,27438,930,5369,44613,106949,64762,51745,58883,80685,94476,105274,72040,3422,123225,115482,81312,71375,59089,60549,52125,48239,40967,25214,10641,32408,81693,73189,54190,58190,69676,78488,81272,78459,58883,21770,11,11092,12773,21964,39825,45538,61337,71641,114649,146099,163289,11,10475,11782,19770,41990,49380,58786,75453,111915,154247,154409,29834,61340,63739,53819,49245,55457,83552,103736,98142,72017,17337,53497,89034,94661,90943,73446,68423,63629,61046,54090,37225,2224,47003,162249,104904,73445,53637,43191,39511,41868,51445,58364,12601,52613,65478,63117,62018,61920,66229,67705,66911,78770,69096,34361,51965,57703,44961,39763,40589,44246,51473,62444,73930,91787,129357
557,3,1,3,1,2,2,98,14256,77090,124004,170316,205590,214070,174276,95845,27730,533,302,12189,61791,106327,146331,175087,193625,179074,157526,71009,547,2722,11305,44445,71727,97982,128580,173906,200789,214493,156120,1739,282498,264204,168801,117923,87971,65675,45064,33671,23576,11726,2699,24522,83185,133636,169962,184078,164517,134372,106294,72752,23792,6698,92,5410,9189,4892,7550,11621,25290,50514,126889,271021,591340,100,5225,8976,4676,7875,12406,24658,52574,124866,287299,575153,17459,17039,54050,118009,156882,202437,215411,178212,112436,26451,5422,71333,152165,152642,137853,126673,122319,123267,104962,81258,30775,561,173236,407267,158938,99291,73292,58596,47353,37920,28774,17160,1981,10673,13493,20687,38789,67725,107746,164313,230961,246149,164398,38874,19440,29733,48912,77690,109146,133628,158016,180472,170753,118839,57179
